"id_cs";"Slovo";"Etymologie";"Anglictina"
1;"být";"";""
2;"do";"";""
3;"mít";"";""
4;"mít";"";""
5;"v";"";""
6;"tamto";"";""
7;"já";"";""
8;"to";"";""
9;"pro";"";""
10;"ne";"";""
11;"na";"";""
12;"s";"";""
13;"on";"";""
14;"jako";"";""
15;"ty";"";""
16;"dělat";"";""
17;"na";"";""
18;"toto";"";""
19;"ale";"";""
20;"jeho";"";""
21;"její";"";""
22;"od";"";""
23;"z";"";""
24;"oni";"";""
25;"my";"";""
26;"říct";"";""
27;"jemu";"";""
28;"jí";"";""
29;"její";"";""
30;"nebo";"";""
31;"tak";"";""
32;"Čtvrtek";;"Thursday"
33;"Úterý";;"Tuesday"
